rotation,value,x,y,is_max
41866.44,-8049.90,525.00,340.38,False
41952.05,-8126.27,526.00,341.00,False
42037.67,-8172.10,527.00,341.38,False
42123.29,-8202.65,528.00,341.62,False
42208.90,-8111.00,529.00,340.88,False
42294.52,-7805.50,530.00,338.38,False
42380.14,-7423.63,531.00,335.25,False
42465.75,-6980.65,532.00,331.62,False
42551.37,-6476.58,533.00,327.50,False
42636.99,-6018.33,534.00,323.75,False
42722.60,-5560.08,535.00,320.00,False
42808.22,-5071.28,536.00,316.00,False
42893.84,-4445.01,537.00,310.88,False
42979.45,-3543.79,538.00,303.50,False
43065.07,-3116.09,539.00,300.00,False
43150.68,-2260.69,540.00,293.00,False
43236.30,-1710.79,541.00,288.50,False
43321.92,-1466.40,542.00,286.50,False
43407.53,-855.40,543.00,281.50,False
43493.15,-733.20,544.00,280.50,False
43578.77,-488.80,545.00,278.50,False
43664.38,-183.30,546.00,276.00,False
43750.00,-61.10,547.00,275.00,False
43835.62,0.00,548.00,274.50,True
43921.23,-244.40,549.00,276.50,False
44006.85,-366.60,550.00,277.50,False
44092.47,-427.70,551.00,278.00,False
44178.08,-427.70,552.00,278.00,False
44263.70,-488.80,553.00,278.50,False
44349.32,-549.90,554.00,279.00,False
44434.93,-611.00,555.00,279.50,False
44520.55,-672.10,556.00,280.00,False
44606.16,-733.20,557.00,280.50,False
44691.78,-733.20,558.00,280.50,False
44777.40,-794.30,559.00,281.00,False
44863.01,-962.32,560.00,282.38,False
44948.63,-1099.80,561.00,283.50,False
45034.25,-1206.72,562.00,284.38,False
45119.86,-1298.37,563.00,285.12,False
45205.48,-1390.02,564.00,285.88,False
45291.10,-1481.67,565.00,286.62,False
45376.71,-1573.32,566.00,287.38,False
45462.33,-1649.69,567.00,288.00,False
45547.95,-1710.79,568.00,288.50,False
45633.56,-1771.89,569.00,289.00,False
45719.18,-1817.72,570.00,289.38,False
45804.79,-1863.54,571.00,289.75,False
45890.41,-1924.64,572.00,290.25,False
45976.03,-1985.74,573.00,290.75,False
46061.64,-2046.84,574.00,291.25,False
46147.26,-2107.94,575.00,291.75,False
46232.88,-2184.32,576.00,292.38,False
46318.49,-2260.69,577.00,293.00,False
46404.11,-2321.79,578.00,293.50,False
46489.73,-2382.89,579.00,294.00,False
46575.34,-2443.99,580.00,294.50,False
46660.96,-2520.37,581.00,295.12,False
46746.58,-2627.29,582.00,296.00,False
46832.19,-2734.22,583.00,296.88,False
46917.81,-2795.32,584.00,297.38,False
47003.42,-2825.87,585.00,297.62,False
47089.04,-2886.97,586.00,298.12,False
