rotation,value,x,y,is_max,is_min
28253.42,14132.54,366.00,157.44,False,False
28339.04,14026.92,367.00,158.31,False,False
28424.66,14040.24,368.00,158.20,False,False
28510.27,13994.74,369.00,158.58,False,False
28595.89,13974.64,370.00,158.74,False,False
28681.51,13910.78,371.00,159.27,False,False
28767.12,13903.80,372.00,159.33,False,False
28852.74,13726.03,373.00,160.80,False,False
28938.36,13641.90,374.00,161.50,False,False
29023.97,13564.80,375.00,162.14,False,False
29109.59,13493.48,376.00,162.73,False,False
29195.21,13396.47,377.00,163.53,False,False
29280.82,13262.58,378.00,164.64,False,False
29366.44,13135.04,379.00,165.70,False,False
29452.05,12984.38,380.00,166.95,False,False
29537.67,12891.51,381.00,167.72,False,False
29623.29,12793.26,382.00,168.53,False,False
29708.90,12674.75,383.00,169.51,False,False
29794.52,12544.79,384.00,170.59,False,False
29880.14,12306.57,385.00,172.56,False,False
29965.75,12338.03,386.00,172.30,False,False
30051.37,12224.27,387.00,173.24,False,False
30136.99,12165.10,388.00,173.73,False,False
30222.60,12066.86,389.00,174.55,False,False
30308.22,11967.03,390.00,175.37,False,False
30393.84,11870.82,391.00,176.17,False,False
30479.45,11806.75,392.00,176.70,False,False
30565.07,11735.77,393.00,177.29,False,False
30650.68,11665.30,394.00,177.87,False,False
30736.30,11581.11,395.00,178.57,False,False
30821.92,11486.44,396.00,179.35,False,False
30907.53,11384.04,397.00,180.20,False,False
30993.15,11318.06,398.00,180.75,False,False
31078.77,11251.58,399.00,181.30,False,False
31164.38,11178.47,400.00,181.90,False,False
31250.00,11071.37,401.00,182.79,False,False
31335.62,10853.12,402.00,184.60,False,False
31421.23,10883.76,403.00,184.35,False,False
31506.85,10844.49,404.00,184.67,False,False
31592.47,10865.24,405.00,184.50,False,False
31678.08,10959.09,406.00,183.72,False,False
31763.70,11239.11,407.00,181.40,False,False
31849.32,11428.91,408.00,179.83,False,False
31934.93,11606.78,409.00,178.36,False,False
32020.55,11604.63,410.00,178.38,False,False
32106.16,12346.22,411.00,172.23,False,False
32191.78,13244.68,412.00,164.79,False,False
32277.40,13821.42,413.00,160.01,False,False
32363.01,14381.20,414.00,155.38,False,False
32448.63,14959.07,415.00,150.59,False,False
32534.25,15501.98,416.00,146.09,False,False
32619.86,16222.55,417.00,140.12,False,False
32705.48,16751.76,418.00,135.74,False,False
32791.10,17046.08,419.00,133.30,False,False
32876.71,17132.95,420.00,132.58,False,False
32962.33,17130.78,421.00,132.60,False,False
33047.95,17097.11,422.00,132.88,False,False
33133.56,17011.69,423.00,133.59,False,False
33219.18,16905.77,424.00,134.46,False,False
33304.79,16782.79,425.00,135.48,False,False
33390.41,16683.89,426.00,136.30,False,False
33476.03,16604.56,427.00,136.96,False,False
33561.64,16485.03,428.00,137.95,False,False
33647.26,16485.58,429.00,137.94,False,False
33732.88,16399.08,430.00,138.66,False,False
33818.49,16437.54,431.00,138.34,False,False
33904.11,16610.75,432.00,136.91,False,False
33989.73,17088.64,433.00,132.95,False,False
34075.34,17523.97,434.00,129.34,False,False
34160.96,17496.98,435.00,129.57,False,False
34246.58,17700.89,436.00,127.88,False,False
34332.19,18019.32,437.00,125.24,False,False
34417.81,18633.00,438.00,120.16,False,False
34503.42,19098.59,439.00,116.30,False,False
34589.04,19635.24,440.00,111.85,False,False
34674.66,19895.03,441.00,109.70,False,False
34760.27,20288.04,442.00,108.45,True,False
34845.89,20022.53,443.00,108.65,False,False
34931.51,19974.39,444.00,109.05,False,False
35017.12,19936.62,445.00,109.36,False,False
35102.74,19836.00,446.00,110.19,False,False
35188.36,19702.43,447.00,111.30,False,False
35273.97,19595.37,448.00,112.19,False,False
35359.59,19553.17,449.00,112.53,False,False
35445.21,19557.34,450.00,112.50,False,False
35530.82,19557.34,451.00,112.50,False,False
